source,target
12,71
12,65
106,58
106,56
106,3
106,96
98,35
15,24
91,64
91,27
91,50
91,5
91,32
91,0
91,11
91,58
91,48
91,30
91,8
91,56
91,101
91,47
91,23
91,3
25,80
28,69
28,14
27,64
27,0
27,23
50,78
50,46
50,30
50,54
50,75
50,36
50,8
50,65
50,45
57,80
17,11
17,13
5,55
5,19
81,50
81,57
81,5
81,32
81,105
81,93
81,58
81,44
81,63
81,94
81,99
81,101
81,10
81,9
81,62
81,3
81,19
32,57
32,17
32,26
32,11
32,90
32,58
32,48
32,84
32,66
32,56
32,47
32,1
32,3
32,52
60,72
43,88
43,21
31,77
31,69
31,28
31,43
31,88
31,21
31,102
31,18
31,86
31,74
31,61
31,56
31,42
31,59
49,29
49,40
85,91
85,27
85,50
85,81
85,32
85,58
85,30
85,8
85,99
85,56
85,47
85,9
34,71
105,5
105,55
105,10
105,19
0,23
33,60
11,26
11,90
11,84
11,24
11,47
78,46
78,75
93,105
21,88
58,25
58,69
58,57
58,105
58,26
58,11
58,48
58,80
58,84
58,100
58,20
58,56
58,62
58,83
58,3
76,98
76,2
76,35
48,11
48,90
48,104
48,80
48,82
48,84
48,67
48,24
48,47
48,62
48,83
48,3
46,75
46,65
30,12
30,98
30,60
30,73
30,34
30,33
30,71
30,76
30,35
30,75
30,7
30,87
30,41
30,92
30,56
30,65
30,62
30,97
30,45
30,39
30,103
37,63
37,56
102,69
102,28
102,43
102,88
104,6
104,52
80,82
80,79
55,10
54,36
63,32
63,93
63,38
63,94
63,51
63,3
63,96
35,60
35,73
35,33
35,41
35,92
35,97
35,39
35,103
75,65
7,49
7,65
84,90
86,21
67,83
67,3
24,95
24,53
13,82
92,41
20,80
20,82
20,52
61,69
61,26
61,102
61,56
70,5
8,45
99,91
99,25
99,50
99,57
99,5
99,105
99,78
99,58
99,44
99,48
99,30
99,55
99,94
99,16
99,70
99,8
99,101
99,9
99,62
99,45
99,3
99,96
99,19
56,12
56,69
56,20
56,62
56,23
51,38
101,57
65,2
65,60
65,34
65,33
65,71
65,76
65,35
65,41
47,27
47,0
47,90
47,84
47,56
47,23
9,91
9,50
9,57
9,32
9,58
9,48
9,30
9,104
9,80
9,63
9,82
9,38
9,67
9,79
9,94
9,13
9,20
9,8
9,56
9,51
9,47
9,1
9,3
1,68
1,52
4,49
62,12
62,25
62,49
62,7
62,20
62,65
83,82
3,25
3,17
3,68
3,22
3,26
3,95
3,11
3,90
3,76
3,104
3,80
3,53
3,82
3,84
3,24
3,94
3,13
3,66
3,20
3,56
3,47
3,1
3,62
3,52
96,25
96,5
96,32
96,11
96,58
96,48
96,104
96,53
96,24
96,94
96,13
96,66
96,56
96,62
96,83
96,3
96,39
96,52
96,19
39,73
52,66
42,61
42,3
19,55
19,94
19,10
89,58
103,41
103,92
